,OkresCode,Okres,KrajCode,Kraj,OborPece,POCET,ID_obor_pece
0,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,Adiktolog,2,0
1,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Adiktolog, Adiktolog, dětská a dorostová psychiatrie, dětská a dorostová psychiatrie",1,2
2,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Adiktolog, Sestra pro péči v psychiatrii, Sestra pro péči v psychiatrii, návykové nemoci, dětská a dorostová psychiatrie, psychiatrie",1,4
3,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Adiktolog, Sestra pro péči v psychiatrii, Všeobecná sestra, epidemiologie",1,5
4,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Adiktolog, návykové nemoci, psychiatrie",5,8
5,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Adiktolog, psychiatrie",2,9
6,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Adiktolog, všeobecné praktické lékařství",1,14
7,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,Behaviorální analytik,1,16
8,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,Dentální hygienistka,118,18
9,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, Všeobecná sestra",1,20
10,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, Zubní technik, ortodoncie",1,23
11,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, Zubní technik, zubní lékařství",5,25
12,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, Zubní technik, zubní lékařství, anesteziologie a intenzivní medicína",1,26
13,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, ortodoncie",5,32
14,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, ortodoncie, zubní lékařství",11,35
15,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, ortodoncie, zubní lékařství, anesteziologie a intenzivní medicína",1,36
16,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, zubní lékařství",112,41
17,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, zubní lékařství, dermatovenerologie",1,43
18,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, zubní lékařství, oftalmologie",1,44
19,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Dentální hygienistka, zubní lékařství, všeobecné praktické lékařství",1,46
20,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,Ergoterapeut,3,55
21,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Ergoterapeut, Ergoterapeut",1,56
22,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Ergoterapeut, Ergoterapeut, Všeobecná sestra",2,57
23,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,Fyzioterapeut,267,65
24,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, Zubní technik, korektivní dermatologie, zubní lékařství, zubní lékařství, všeobecné praktické lékařství, rehabilitační a fyzikální medicína, plastická chirurgie, plastická chirurgie, otorinolaryngologie a chirurgie hlavy a krku, gynekologie a porodnictví, gynekologie a porodnictví, dermatovenerologie, cévní chirurgie, cévní chirurgie",1,69
25,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, laboratorní a vyšetřovací metody ve zdravotnictví, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, rehabilitační a fyzikální medicína, praktické lékařství pro děti a dorost, oftalmologie, neurologie, kardiologie, gynekologie a porodnictví, dermatovenerologie, alergologie a klinická imunologie",1,70
26,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, laboratorní a vyšetřovací metody ve zdravotnictví, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, revmatologie, radiologie a zobrazovací metody, praktické lékařství pro děti a dorost, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, oftalmologie, neurologie, kardiologie, gynekologie a porodnictví, endokrinologie a diabetologie, dermatovenerologie, alergologie a klinická imunologie",1,71
27,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, laboratorní a vyšetřovací metody ve zdravotnictví, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, urologie, radiologie a zobrazovací metody, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, oftalmologie, kardiologie, gynekologie a porodnictví, endokrinologie a diabetologie, dermatovenerologie, alergologie a klinická imunologie",1,72
28,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, ortodoncie, zubní lékařství",1,73
29,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, radiologie a zobrazovací metody, oftalmologie, gynekologie a porodnictví, dermatovenerologie",1,76
30,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Dentální hygienistka, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, radiologie a zobrazovací metody, praktické lékařství pro děti a dorost, otorinolaryngologie a chirurgie hlavy a krku, oftalmologie, hematologie a transfúzní lékařství, gynekologie a porodnictví, endokrinologie a diabetologie, dermatovenerologie",1,77
31,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut",3,79
32,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut, Ergoterapeut",1,80
33,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut, Ergoterapeut, všeobecné praktické lékařství, vnitřní lékařství, geriatrie",1,82
34,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut, Všeobecná sestra",4,84
35,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut, paliativní medicína, klinická osteologie, dětská revmatologie, praktické lékárenství, laboratorní a vyšetřovací metody ve zdravotnictví, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, revmatologie, revmatologie, revmatologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, nukleární medicína, lékařská mikrobiologie, lékařská genetika, klinická biochemie, kardiologie, hematologie a transfúzní lékařství, alergologie a klinická imunologie",1,96
36,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut, rehabilitační a fyzikální medicína",1,98
37,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Ergoterapeut, rehabilitační a fyzikální medicína, neurologie",2,101
38,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut",21,111
39,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Ergoterapeut, Ergoterapeut",1,112
40,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický psycholog, Klinický psycholog, Klinický psycholog, Ergoterapeut, Všeobecná sestra, sexuologie, paliativní medicína, paliativní medicína, paliativní medicína, neuroradiologie, klinická výživa a intenzivní metabolická péče, intervenční radiologie, klinická farmakologie, intenzívní medicína, intenzívní medicína, intenzívní medicína, hrudní chirurgie, hrudní chirurgie, hrudní chirurgie, foniatrie, foniatrie, angiologie, angiologie, angiologie, angiologie, nemocniční lékárenství, praktické lékárenství, klinická farmacie, laboratorní a vyšetřovací metody ve zdravotnictví, zubní lékařství, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, urologie, revmatologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, radiologie a zobrazovací metody, radiologie a zobrazovací metody, psychiatrie, radiační onkologie, radiační onkologie, radiační onkologie, praktické lékařství pro děti a dorost, pneumologie a ftizeologie, pneumologie a ftizeologie, pneumologie a ftizeologie, patologie, patologie, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, oftalmologie, oftalmologie, nukleární medicína, neurologie, neurologie, neurologie, neurochirurgie, neurochirurgie, neurochirurgie, neurochirurgie, nefrologie, lékařská mikrobiologie, lékařská genetika, klinická onkologie, klinická biochemie, kardiologie, kardiologie, kardiologie, kardiologie, kardiochirurgie, kardiochirurgie, kardiochirurgie, infekční lékařství, chirurgie, chirurgie, chirurgie, chirurgie, hygiena a epidemiologie, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gastroenterologie, gastroenterologie, gastroenterologie, gastroenterologie, endokrinologie a diabetologie, endokrinologie a diabetologie, endokrinologie a diabetologie, dětské lékařství, dermatovenerologie, cévní chirurgie, cévní chirurgie, cévní chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,122
41,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Fyzioterapeut, Nutriční terapeut, Nutriční terapeut, Nutriční terapeut, Nutriční terapeut, paliativní medicína, nemocniční lékárenství, praktické lékárenství, laboratorní a vyšetřovací metody ve zdravotnictví, všeobecné praktické lékařství, vnitřní lékařství, psychiatrie, patologie, patologie, lékařská mikrobiologie, lékařská genetika, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství",1,124
42,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Ergoterapeut, Ergoterapeut",1,128
43,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Ergoterapeut, Ergoterapeut, Všeobecná sestra",1,129
44,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický logoped, Klinický logoped, Klinický psycholog, Klinický psycholog, Klinický psycholog, dětské lékařství, dětské lékařství, dětské lékařství",1,130
