,Okres,Kraj,OborPece,POCET
0,Benešov,Středočeský kraj,Dentální hygienistka,5
1,Benešov,Středočeský kraj,Fyzioterapeut,10
2,Benešov,Středočeský kraj,Klinický psycholog,5
3,Benešov,Středočeský kraj,Optometrista,3
4,Benešov,Středočeský kraj,Porodní asistentka,1
5,Benešov,Středočeský kraj,Všeobecná sestra,2
6,Benešov,Středočeský kraj,Zubní technik,7
7,Benešov,Středočeský kraj,alergologie a klinická imunologie,1
8,Benešov,Středočeský kraj,anesteziologie a intenzivní medicína,2
9,Benešov,Středočeský kraj,chirurgie,3
10,Benešov,Středočeský kraj,dermatovenerologie,2
11,Benešov,Středočeský kraj,dětská a dorostová psychiatrie,1
12,Benešov,Středočeský kraj,endokrinologie a diabetologie,1
13,Benešov,Středočeský kraj,gynekologie a porodnictví,12
14,Benešov,Středočeský kraj,kardiologie,1
15,Benešov,Středočeský kraj,neurologie,1
16,Benešov,Středočeský kraj,oftalmologie,7
17,Benešov,Středočeský kraj,ortopedie a traumatologie pohybového ústrojí,4
18,Benešov,Středočeský kraj,otorinolaryngologie a chirurgie hlavy a krku,3
19,Benešov,Středočeský kraj,pediatrie,1
20,Benešov,Středočeský kraj,pneumologie a ftizeologie,1
21,Benešov,Středočeský kraj,praktické lékařství pro děti a dorost,22
22,Benešov,Středočeský kraj,praktické lékárenství,3
23,Benešov,Středočeský kraj,psychiatrie,1
24,Benešov,Středočeský kraj,radiologie a zobrazovací metody,1
25,Benešov,Středočeský kraj,rehabilitační a fyzikální medicína,1
26,Benešov,Středočeský kraj,urologie,3
27,Benešov,Středočeský kraj,vnitřní lékařství,4
28,Benešov,Středočeský kraj,všeobecné praktické lékařství,39
29,Benešov,Středočeský kraj,zubní lékařství,16
30,Beroun,Středočeský kraj,Dentální hygienistka,2
31,Beroun,Středočeský kraj,Fyzioterapeut,8
32,Beroun,Středočeský kraj,Klinický psycholog,1
33,Beroun,Středočeský kraj,Optometrista,6
34,Beroun,Středočeský kraj,Ortotik-protetik,1
35,Beroun,Středočeský kraj,Porodní asistentka,1
36,Beroun,Středočeský kraj,Všeobecná sestra,2
37,Beroun,Středočeský kraj,Zubní technik,3
38,Beroun,Středočeský kraj,alergologie a klinická imunologie,1
39,Beroun,Středočeský kraj,algeziologie,2
40,Beroun,Středočeský kraj,anesteziologie a intenzivní medicína,11
41,Beroun,Středočeský kraj,chirurgie,13
42,Beroun,Středočeský kraj,dermatovenerologie,2
43,Beroun,Středočeský kraj,gynekologie a porodnictví,12
44,Beroun,Středočeský kraj,kardiologie,3
45,Beroun,Středočeský kraj,nefrologie,1
46,Beroun,Středočeský kraj,neurologie,1
47,Beroun,Středočeský kraj,oftalmologie,4
48,Beroun,Středočeský kraj,ortodoncie,2
49,Beroun,Středočeský kraj,otorinolaryngologie a chirurgie hlavy a krku,1
50,Beroun,Středočeský kraj,paliativní medicína,1
51,Beroun,Středočeský kraj,pediatrie,3
52,Beroun,Středočeský kraj,praktické lékařství pro děti a dorost,8
53,Beroun,Středočeský kraj,praktické lékárenství,2
54,Beroun,Středočeský kraj,psychiatrie,3
55,Beroun,Středočeský kraj,radiologie a zobrazovací metody,1
56,Beroun,Středočeský kraj,rehabilitační a fyzikální medicína,1
57,Beroun,Středočeský kraj,urologie,1
58,Beroun,Středočeský kraj,vnitřní lékařství,3
59,Beroun,Středočeský kraj,všeobecné praktické lékařství,30
60,Beroun,Středočeský kraj,zubní lékařství,17
61,Blansko,Jihomoravský kraj,Dentální hygienistka,5
62,Blansko,Jihomoravský kraj,Fyzioterapeut,11
63,Blansko,Jihomoravský kraj,Klinický logoped,3
64,Blansko,Jihomoravský kraj,Klinický psycholog,1
65,Blansko,Jihomoravský kraj,Optometrista,6
66,Blansko,Jihomoravský kraj,Porodní asistentka,1
67,Blansko,Jihomoravský kraj,Všeobecná sestra,3
68,Blansko,Jihomoravský kraj,Zubní technik,10
69,Blansko,Jihomoravský kraj,alergologie a klinická imunologie,3
70,Blansko,Jihomoravský kraj,chirurgie,2
71,Blansko,Jihomoravský kraj,dermatovenerologie,4
72,Blansko,Jihomoravský kraj,dětská kardiologie,1
73,Blansko,Jihomoravský kraj,gastroenterologie,1
74,Blansko,Jihomoravský kraj,gynekologie a porodnictví,19
75,Blansko,Jihomoravský kraj,kardiologie,1
76,Blansko,Jihomoravský kraj,klinická stomatologie,2
77,Blansko,Jihomoravský kraj,neurologie,2
78,Blansko,Jihomoravský kraj,oftalmologie,5
79,Blansko,Jihomoravský kraj,ortopedie a traumatologie pohybového ústrojí,3
80,Blansko,Jihomoravský kraj,otorinolaryngologie a chirurgie hlavy a krku,2
81,Blansko,Jihomoravský kraj,plastická chirurgie,1
82,Blansko,Jihomoravský kraj,pneumologie a ftizeologie,2
83,Blansko,Jihomoravský kraj,praktické lékařství pro děti a dorost,15
84,Blansko,Jihomoravský kraj,praktické lékárenství,2
85,Blansko,Jihomoravský kraj,psychiatrie,1
86,Blansko,Jihomoravský kraj,radiologie a zobrazovací metody,1
87,Blansko,Jihomoravský kraj,urologie,4
88,Blansko,Jihomoravský kraj,vnitřní lékařství,3
89,Blansko,Jihomoravský kraj,všeobecné praktické lékařství,37
90,Blansko,Jihomoravský kraj,zubní lékařství,37
91,Brno-město,Jihomoravský kraj,Adiktolog,1
92,Brno-město,Jihomoravský kraj,Dentální hygienistka,26
93,Brno-město,Jihomoravský kraj,Farmaceutický asistent,1
94,Brno-město,Jihomoravský kraj,Fyzioterapeut,112
95,Brno-město,Jihomoravský kraj,Klinický logoped,20
96,Brno-město,Jihomoravský kraj,Klinický psycholog,43
97,Brno-město,Jihomoravský kraj,Nutriční terapeut,2
98,Brno-město,Jihomoravský kraj,Optometrista,30
99,Brno-město,Jihomoravský kraj,Ortotik-protetik,2
100,Brno-město,Jihomoravský kraj,Porodní asistentka,12
101,Brno-město,Jihomoravský kraj,Všeobecná sestra,9
102,Brno-město,Jihomoravský kraj,Zubní technik,84
103,Brno-město,Jihomoravský kraj,alergologie a klinická imunologie,13
104,Brno-město,Jihomoravský kraj,algeziologie,10
105,Brno-město,Jihomoravský kraj,anesteziologie a intenzivní medicína,28
106,Brno-město,Jihomoravský kraj,chirurgie,21
107,Brno-město,Jihomoravský kraj,dermatovenerologie,42
108,Brno-město,Jihomoravský kraj,dětská a dorostová psychiatrie,2
109,Brno-město,Jihomoravský kraj,dětská kardiologie,2
110,Brno-město,Jihomoravský kraj,dětská neurologie,1
111,Brno-město,Jihomoravský kraj,dětská otorinolaryngologie,2
112,Brno-město,Jihomoravský kraj,dětská radiologie,1
113,Brno-město,Jihomoravský kraj,endokrinologie a diabetologie,14
114,Brno-město,Jihomoravský kraj,gastroenterologie,5
115,Brno-město,Jihomoravský kraj,gynekologie a porodnictví,39
116,Brno-město,Jihomoravský kraj,hematologie a transfúzní lékařství,3
117,Brno-město,Jihomoravský kraj,infekční lékařství,2
118,Brno-město,Jihomoravský kraj,kardiochirurgie,1
119,Brno-město,Jihomoravský kraj,kardiologie,10
120,Brno-město,Jihomoravský kraj,klinická biochemie,2
121,Brno-město,Jihomoravský kraj,klinická onkologie,2
122,Brno-město,Jihomoravský kraj,klinická stomatologie,9
123,Brno-město,Jihomoravský kraj,lékařská genetika,1
124,Brno-město,Jihomoravský kraj,lékařská mikrobiologie,2
125,Brno-město,Jihomoravský kraj,nefrologie,3
126,Brno-město,Jihomoravský kraj,neurochirurgie,1
127,Brno-město,Jihomoravský kraj,neurologie,27
128,Brno-město,Jihomoravský kraj,nukleární medicína,1
129,Brno-město,Jihomoravský kraj,oftalmologie,35
130,Brno-město,Jihomoravský kraj,ortodoncie,7
131,Brno-město,Jihomoravský kraj,ortopedie a traumatologie pohybového ústrojí,29
132,Brno-město,Jihomoravský kraj,otorinolaryngologie a chirurgie hlavy a krku,14
133,Brno-město,Jihomoravský kraj,patologie,2
134,Brno-město,Jihomoravský kraj,pediatrie,1
135,Brno-město,Jihomoravský kraj,plastická chirurgie,35
136,Brno-město,Jihomoravský kraj,pneumologie a ftizeologie,8
137,Brno-město,Jihomoravský kraj,praktické lékařství pro děti a dorost,55
138,Brno-město,Jihomoravský kraj,praktické lékárenství,24
139,Brno-město,Jihomoravský kraj,psychiatrie,33
140,Brno-město,Jihomoravský kraj,radiologie a zobrazovací metody,13
141,Brno-město,Jihomoravský kraj,rehabilitační a fyzikální medicína,7
142,Brno-město,Jihomoravský kraj,revmatologie,5
143,Brno-město,Jihomoravský kraj,sexuologie,1
144,Brno-město,Jihomoravský kraj,traumatologie,2
145,Brno-město,Jihomoravský kraj,urologie,12
146,Brno-město,Jihomoravský kraj,vnitřní lékařství,13
147,Brno-město,Jihomoravský kraj,všeobecné praktické lékařství,124
148,Brno-město,Jihomoravský kraj,zubní lékařství,222
149,Brno-venkov,Jihomoravský kraj,Dentální hygienistka,4
150,Brno-venkov,Jihomoravský kraj,Fyzioterapeut,21
151,Brno-venkov,Jihomoravský kraj,Klinický logoped,9
152,Brno-venkov,Jihomoravský kraj,Klinický psycholog,4
153,Brno-venkov,Jihomoravský kraj,Optometrista,13
154,Brno-venkov,Jihomoravský kraj,Porodní asistentka,8
155,Brno-venkov,Jihomoravský kraj,Všeobecná sestra,12
156,Brno-venkov,Jihomoravský kraj,Zubní technik,25
157,Brno-venkov,Jihomoravský kraj,alergologie a klinická imunologie,8
158,Brno-venkov,Jihomoravský kraj,angiologie,1
159,Brno-venkov,Jihomoravský kraj,chirurgie,4
160,Brno-venkov,Jihomoravský kraj,dermatovenerologie,8
161,Brno-venkov,Jihomoravský kraj,dětská a dorostová psychiatrie,1
162,Brno-venkov,Jihomoravský kraj,dětská kardiologie,1
163,Brno-venkov,Jihomoravský kraj,endokrinologie a diabetologie,1
